cluster,names,scores,logfoldchanges,pvals,pvals_adj
17,ENSMUSG00000076609,6.8211966,9.03276,9.028545870744141e-12,2.6548968740362492e-09
17,ENSMUSG00000063457,6.7725177,1.4834384,1.2656036736697635e-11,3.5195266288090876e-09
17,ENSMUSG00000003970,6.672401,0.9785605,2.5165228675734305e-11,6.6562662139495025e-09
17,ENSMUSG00000030798,6.6561747,8.417642,2.810465618702503e-11,7.359784492837062e-09
17,ENSMUSG00000045128,6.632001,2.0267687,3.311669402720491e-11,8.586848802049053e-09
17,ENSMUSG00000026126,6.5930357,5.464389,4.309228650171559e-11,1.0800979010972864e-08
17,ENSMUSG00000078193,6.558376,1.9465823,5.43970538998978e-11,1.344245694401418e-08
17,ENSMUSG00000029622,6.443357,2.0460448,1.168593312452064e-10,2.697810420799423e-08
17,ENSMUSG00000060586,6.439935,6.729708,1.195245210004495e-10,2.7472893831352226e-08
17,ENSMUSG00000073421,6.43265,6.160076,1.253982152849923e-10,2.8697654172786323e-08
17,ENSMUSG00000066278,6.3641024,5.023915,1.9643502421702773e-10,4.308147472786447e-08
17,ENSMUSG00000073411,6.224248,1.3950433,4.838717539105514e-10,9.468057114808842e-08
17,ENSMUSG00000039001,6.206918,1.2385714,5.403385451403977e-10,1.0456345463974256e-07
17,ENSMUSG00000023034,6.204931,3.4143384,5.472094808594806e-10,1.0465179042949794e-07
17,ENSMUSG00000060802,6.204489,1.6007872,5.487478941891753e-10,1.0465179042949794e-07
17,ENSMUSG00000027808,6.1462073,2.797578,7.935750888916522e-10,1.430500629414418e-07
17,ENSMUSG00000106037,6.0689397,1.9875672,1.2875751297025023e-09,2.179189856174306e-07
17,ENSMUSG00000040699,6.0566874,4.760845,1.3895341800740437e-09,2.3104075889951948e-07
17,ENSMUSG00000061232,6.0192676,1.4585042,1.752080836552223e-09,2.872975916285446e-07
17,ENSMUSG00000005583,5.996087,3.943951,2.0212850024975377e-09,3.243669432666475e-07
17,ENSMUSG00000015396,5.91617,6.6645446,3.2952405189788725e-09,5.042101161539882e-07
17,ENSMUSG00000025647,5.9083333,2.2596252,3.455866306042781e-09,5.257311528464388e-07
17,ENSMUSG00000038642,5.8995028,6.187941,3.645991824257388e-09,5.530559817337519e-07
17,ENSMUSG00000026832,5.773225,5.7234025,7.77685003449937e-09,1.10038246885997e-06
17,ENSMUSG00000037944,5.7631803,8.97976,8.254360228042332e-09,1.1586040132352965e-06
17,ENSMUSG00000020372,5.6778545,1.2574633,1.3639465857582595e-08,1.7770468437616769e-06
17,ENSMUSG00000037548,5.637013,6.320744,1.7302508452778254e-08,2.232193222844206e-06
17,ENSMUSG00000034634,5.633922,7.163235,1.7615645154380585e-08,2.2508359017049286e-06
17,ENSMUSG00000027368,5.633812,5.306715,1.7626929784679183e-08,2.2508359017049286e-06
17,ENSMUSG00000029465,5.6065474,1.4107747,2.064024631569423e-08,2.5744549883243635e-06
17,ENSMUSG00000045826,5.541422,9.303697,3.0002566501087613e-08,3.509366867447217e-06
17,ENSMUSG00000002603,5.527955,2.7284906,3.239849903516787e-08,3.7397530596822277e-06
17,ENSMUSG00000028234,5.526741,1.5341725,3.262342696188032e-08,3.7574763710405534e-06
17,ENSMUSG00000036478,5.4196696,1.8399599,5.970919858969931e-08,6.323648645809684e-06
17,ENSMUSG00000040592,5.4153647,7.9106646,6.116382867845681e-08,6.451742056752009e-06
17,ENSMUSG00000029401,5.408521,3.830549,6.354725981554417e-08,6.6630947562768585e-06
17,ENSMUSG00000057322,5.398366,1.2564874,6.725055745920151e-08,7.009505628559467e-06
17,ENSMUSG00000030220,5.346707,3.0501559,8.956882139525546e-08,8.980084729448889e-06
17,ENSMUSG00000020737,5.207294,2.097837,1.9161443450723281e-07,1.7094605719868993e-05
17,ENSMUSG00000083326,5.197801,1.0087937,2.0165979010935733e-07,1.772047531251441e-05
17,ENSMUSG00000036931,5.197139,4.1930985,2.0237930986946542e-07,1.7724521388168356e-05
17,ENSMUSG00000034994,5.145038,0.8436715,2.6746635690122714e-07,2.256147301579005e-05
17,ENSMUSG00000024661,5.134773,1.1550756,2.8248530520241594e-07,2.3489567969406578e-05
17,ENSMUSG00000024673,5.1082807,10.849219,3.251031862300792e-07,2.6448425518402552e-05
17,ENSMUSG00000021298,5.008495,7.7211742,5.485727865919643e-07,4.119069500007793e-05
17,ENSMUSG00000021998,4.9996643,5.684448,5.74301637787546e-07,4.275663508710788e-05
17,ENSMUSG00000023944,4.971738,0.88551563,6.635543982060038e-07,4.8509512922182245e-05
17,ENSMUSG00000059033,4.9664392,2.1831853,6.819336748950224e-07,4.978399571674674e-05
17,ENSMUSG00000072692,4.96379,0.8487865,6.913063064383739e-07,5.039833621286738e-05
17,ENSMUSG00000031320,4.9618034,2.0677195,6.984171111097388e-07,5.0636202562496156e-05
17,ENSMUSG00000080921,4.937409,1.267024,7.916742718603946e-07,5.684934102816334e-05
17,ENSMUSG00000074800,4.9211826,1.1581941,8.602285520238446e-07,6.135364507361393e-05
17,ENSMUSG00000023927,4.902528,6.5037704,9.461117890918204e-07,6.622279272691099e-05
17,ENSMUSG00000026655,4.870517,3.1198545,1.113066437672633e-06,7.540201417417852e-05
17,ENSMUSG00000091449,4.8614655,1.3686187,1.165198310117661e-06,7.793059498265972e-05
17,ENSMUSG00000037649,4.7985477,6.0825496,1.5982034333507263e-06,0.00010158720273091778
17,ENSMUSG00000093327,4.79347,6.2848854,1.6392099230914078e-06,0.0001039535584479992
17,ENSMUSG00000031029,4.7806654,0.83380765,1.7471575599550693e-06,0.00010947019578152727
17,ENSMUSG00000041841,4.7553883,1.2918371,1.9806561627107025e-06,0.00012150794613104958
17,ENSMUSG00000030579,4.621163,5.851837,3.815949496464641e-06,0.0002145900830084539
17,ENSMUSG00000024399,4.6081376,6.150218,4.0629139900909e-06,0.0002253483043018173
17,ENSMUSG00000042474,4.5861716,8.785132,4.51447441668278e-06,0.0002454792101203665
17,ENSMUSG00000068396,4.5497456,2.040902,5.371084981883423e-06,0.0002844189427629938
17,ENSMUSG00000107176,4.488262,1.0049664,7.180644933949556e-06,0.00036326250704002313
18,ENSMUSG00000029819,10.821451,11.35293,2.7242996281419316e-27,1.4339623522687871e-22
18,ENSMUSG00000017723,9.290026,4.3540683,1.5425081704588884e-20,4.0595730030137024e-16
18,ENSMUSG00000031762,8.929975,5.793306,4.2610706976606843e-19,6.94618196890516e-15
18,ENSMUSG00000074896,8.8855715,4.405787,6.359309311729661e-19,6.94618196890516e-15
18,ENSMUSG00000024725,8.881469,2.3310065,6.598318611696519e-19,6.94618196890516e-15
18,ENSMUSG00000046721,8.763824,2.680043,1.8873514482488895e-18,1.431679097953803e-14
18,ENSMUSG00000036181,8.748742,4.245283,2.157439481801428e-18,1.431679097953803e-14
18,ENSMUSG00000032060,8.747777,4.8341775,2.1759694474561942e-18,1.431679097953803e-14
18,ENSMUSG00000050520,8.502111,3.7981892,1.861723856085201e-17,1.0888188543211181e-13
18,ENSMUSG00000062488,8.104535,3.7046463,5.294765502281652e-16,2.5335934270736096e-12
18,ENSMUSG00000031765,7.953347,4.947821,1.815387458623858e-15,7.962894522677116e-12
18,ENSMUSG00000048442,7.7185416,2.9876757,1.1766835388322467e-14,4.7643011346133956e-11
18,ENSMUSG00000002204,7.6635203,3.4894192,1.809047476294593e-14,6.494553917012613e-11
18,ENSMUSG00000092274,7.658694,2.726612,1.878336174513333e-14,6.494553917012613e-11
18,ENSMUSG00000002107,7.652299,2.8209126,1.9741785597728134e-14,6.494553917012613e-11
18,ENSMUSG00000018102,7.6416807,2.9907098,2.144044176740629e-14,6.63846525217175e-11
18,ENSMUSG00000004085,7.608861,3.3497684,2.7652202773326747e-14,8.086118584315704e-11
18,ENSMUSG00000054091,7.380209,2.0920463,1.5804122262097638e-13,4.3782409441461647e-10
18,ENSMUSG00000010080,7.2406044,2.5329394,4.4668879637198573e-13,1.1196148326588495e-09
