source,target,ligand_complex,receptor_complex,magnitude_rank_ctrl,magnitude_rank_neph,delta_rank_ctrl_minus_neph
IMM,PEC,Ptgs2,Cav1,0.6518080955403232,0.3550462148347936,0.29676188070552956
PEC,IMM,Icam1,Itgam_Itgb2,0.38797181091733124,0.09293583322645012,0.29503597769088113
SMC,PEC,Pdgfc,Flt1,1.0,0.7076524322380924,0.2923475677619076
END,PEC,Apoe,Sorl1,1.0,0.7127700471761647,0.28722995282383534
PEC,PEC,Ptn,Sdc4,0.6926968004411973,0.4058434633122867,0.2868533371289106
TEC,PEC,Apoe,Sorl1,1.0,0.7183007309683076,0.2816992690316924
PEC,SMC,Cd14,Itga4,1.0,0.7183901974027778,0.28160980259722224
PEC,IMM,Plau,Lrp1,0.7006740291411634,0.4202899925810537,0.2803840365601097
PEC,SMC,Apoe,Lrp1,1.0,0.7208532241721004,0.2791467758278996
IMM,PEC,Ccl5,Sdc4,0.4369975150036303,0.16744771926446012,0.2695497957391702
POD,PEC,Apoe,Sdc2,0.675533013221881,0.40612847333483815,0.2694045398870428
PEC,END,Cxcl12,Sdc4,1.0,0.7307616283029679,0.26923837169703213
PEC,END,Tgm2,Sdc4,1.0,0.7312568117963727,0.2687431882036273
PEC,SMC,Pam,Dpp4,1.0,0.734042261842586,0.26595773815741397
PEC,MES,Tgm2,Sdc4,0.6907119989907342,0.42643039227683555,0.26428160671389866
PEC,SMC,Serpine2,Lrp1,1.0,0.7374174887018732,0.2625825112981268
PEC,IMM,Csf1,Csf2ra,0.5498039100120078,0.2876320218252941,0.26217188818671366
SMC,PEC,Tgfb3,Itgb5,0.7629612728616757,0.5026821443479385,0.26027912851373725
PEC,TEC,Thbs1,Cd36,0.6461016426141584,0.3884492069939077,0.25765243562025064
PEC,TEC,Ptn,Sdc4,0.8572103931212811,0.6007144299864258,0.25649596313485534
TEC,PEC,Gas6,Axl,0.799038953581364,0.543751890351087,0.25528706323027706
TEC,PEC,Apoe,Sdc2,1.0,0.7449536325129725,0.25504636748702747
END,PEC,Apoe,Sdc2,1.0,0.7491622186356423,0.25083778136435775
SMC,PEC,Tgm2,Sdc4,0.5075551094809589,0.256758675209805,0.25079643427115395
